GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA21_560: Median total income in 2020 among recipients ($)
4620133.00,CT,0133.00,0.1455,2645,1802,1569,30800
4620134.00,CT,0134.00,0.086,1136,745,643,40000
4620135.00,CT,0135.00,0.1204,1717,956,855,41200
4620136.00,CT,0136.00,0.1816,2861,1675,1515,34000
4620137.00,CT,0137.00,0.1823,1165,739,645,29000
4620138.00,CT,0138.00,0.2787,2077,1214,1066,31000
4620139.00,CT,0139.00,0.2205,3223,1897,1706,38400
4620140.00,CT,0140.00,0.1181,1388,744,696,48400
4620141.00,CT,0141.00,0.1199,1722,909,838,46000
4620142.00,CT,0142.00,0.11,1683,976,865,34400
4620143.00,CT,0143.00,0.1728,2691,1602,1464,37200
4620144.00,CT,0144.00,0.1911,3542,2229,2021,43600
4620145.00,CT,0145.00,0.4128,0,0,0,
4620146.00,CT,0146.00,0.1415,2455,1556,1383,44000
4620147.00,CT,0147.00,0.1682,2905,1710,1594,46400
4620148.00,CT,0148.00,0.1426,1223,511,482,45200
4620149.00,CT,0149.00,0.1382,3238,2032,1799,39600
4620150.00,CT,0150.00,0.1646,2412,1488,1382,36800
4620151.00,CT,0151.00,0.1171,2124,1166,1090,42400
4620152.00,CT,0152.00,0.1364,1650,1000,919,42000
4620153.00,CT,0153.00,0.2681,812,497,438,33200
4620154.00,CT,0154.00,0.1244,1104,616,594,53600
4620155.00,CT,0155.00,0.1059,1813,1083,1011,42000
4620156.00,CT,0156.00,0.1377,1955,1188,1101,42400
4620157.00,CT,0157.00,0.1611,2152,1218,1130,46800
4620158.00,CT,0158.00,0.1382,2094,1294,1203,43200
4620159.00,CT,0159.00,0.1239,1886,1016,957,48400
4620160.00,CT,0160.00,0.1202,1738,1118,1036,37200
4620161.00,CT,0161.00,0.1391,1980,1111,993,38000
4620162.00,CT,0162.00,0.0933,1755,1088,1004,43600
4620163.00,CT,0163.00,0.2023,3090,1636,1467,35600
4620164.00,CT,0164.00,0.0694,1586,1050,957,40400
4620165.00,CT,0165.00,0.15,2322,1210,1019,32400
4620166.00,CT,0166.00,0.2347,574,349,312,44000
4620167.00,CT,0167.00,0.2052,2453,1212,1092,35600
4620168.00,CT,0168.00,0.1702,2826,1252,1143,38800
4620169.00,CT,0169.00,0.1473,2099,1021,936,41600
4620170.00,CT,0170.00,0.158,2098,1148,1056,39200
4620171.00,CT,0171.00,0.4781,4778,2995,2788,39200
4620172.00,CT,0172.00,0.1951,2656,1761,1617,41600
4620173.00,CT,0173.00,0.1842,2041,1222,1147,46000
4620174.00,CT,0174.00,0.2263,2110,1292,1204,54000
4620175.00,CT,0175.00,0.1165,1992,1142,1083,54400
4620176.00,CT,0176.00,0.1131,1643,960,904,42400
4620177.00,CT,0177.00,0.0982,1342,817,771,47600
4620178.00,CT,0178.00,0.2765,2262,1411,1304,42000
4620179.00,CT,0179.00,0.5019,3783,2348,2175,40000
4620180.00,CT,0180.00,0.2642,3322,2054,1929,39200
4620181.00,CT,0181.00,0.3347,5881,3522,3311,40000
4620182.00,CT,0182.00,0.1379,2099,1168,1103,42400
4620183.00,CT,0183.00,0.1318,2152,1269,1209,40800
4620184.00,CT,0184.00,0.2191,2965,1611,1535,43200
4620185.00,CT,0185.00,0.3932,5192,2988,2757,40800
4620186.00,CT,0186.00,0.3873,4606,2617,2496,37600
4620187.01,CT,0187.01,0.3658,3339,2027,1921,42000
4620187.03,CT,0187.03,0.3558,4751,2662,2583,42000
4620187.04,CT,0187.04,0.7803,6501,2808,2667,59200
4620188.01,CT,0188.01,0.1514,2136,1214,1145,39200
4620188.02,CT,0188.02,0.2287,2605,1531,1381,38400
4620189.00,CT,0189.00,1.4494,0,0,0,
4620190.01,CT,0190.01,0.4538,3688,1928,1805,42000
4620190.02,CT,0190.02,1.0432,4164,2360,2253,51600
4620191.00,CT,0191.00,1.6917,6160,3118,2917,40400
4620192.00,CT,0192.00,0.7797,3229,1201,1163,46800
4620193.00,CT,0193.00,0.2646,2197,1035,987,40400
4620194.01,CT,0194.01,0.6154,5132,1776,1739,53600
4620194.02,CT,0194.02,0.5939,4478,2004,1928,37600
